,name,link,location,pricing,rating,review_count,thumbnail
10,Leonardo Hotel Salzburg Airport,https://www.booking.com/hotel/at/star-inn-salzburg-airport.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=7099315_88517030_0_2_0&highlighted_blocks=7099315_88517030_0_2_0&matching_block_id=7099315_88517030_0_2_0&sr_pri_blocks=7099315_88517030_0_2_0__8010&from=searchresults#hotelTmpl,Salzburg,US$88,7.8Good,"3,816",https://cf.bstatic.com/xdata/images/hotel/square200/484196714.jpg?k=eb257266fa44475f536f45a61b0081a60e920e4a6c681c75346d65fc279d4e65&o=
11,COOL MAMA Salzburg,https://www.booking.com/hotel/at/cool-mama.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=205117101_94981247_0_2_0&highlighted_blocks=205117101_94981247_0_2_0&matching_block_id=205117101_94981247_0_2_0&sr_pri_blocks=205117101_94981247_0_2_0__13950&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Salzburg,US$153,8.8Fabulous,"4,468",https://cf.bstatic.com/xdata/images/hotel/square200/115711773.jpg?k=28c3acbb16430797eea1b291de01649d3dfff8eea0c6647c2ba3835c82b87bc6&o=
12,morand I Apartments,https://www.booking.com/hotel/at/studio-velvet.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=1098990603_383174877_2_0_0&highlighted_blocks=1098990603_383174877_2_0_0&matching_block_id=1098990603_383174877_2_0_0&sr_pri_blocks=1098990603_383174877_2_0_0__11200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Elisabeth-Vorstadt, Salzburg",US$123,9.2Superb,13,https://cf.bstatic.com/xdata/images/hotel/square200/503777042.jpg?k=0b5bb55a1397afabb4444d8791bcb413111331d169e8db40012255ddb0ad9b5b&o=
13,Hotel Zum Hirschen Salzburg,https://www.booking.com/hotel/at/zumhirschen.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=7011601_340055371_0_2_0&highlighted_blocks=7011601_340055371_0_2_0&matching_block_id=7011601_340055371_0_2_0&sr_pri_blocks=7011601_340055371_0_2_0__23100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Elisabeth-Vorstadt, Salzburg",US$254,8.9Fabulous,23,https://cf.bstatic.com/xdata/images/hotel/square200/490740792.jpg?k=1559b6955a0fe67eacf92e640cbd3180181ebb8abd18bc4df930a0f2b67bfce5&o=
14,My Wonderland,https://www.booking.com/hotel/at/my-wonderland.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=199322501_380345073_2_0_0&highlighted_blocks=199322501_380345073_2_0_0&matching_block_id=199322501_380345073_2_0_0&sr_pri_blocks=199322501_380345073_2_0_0__33800&from=searchresults#hotelTmpl,Salzburg,US$372,9.5Exceptional,110,https://cf.bstatic.com/xdata/images/hotel/square200/90054446.jpg?k=99557d2ae0a34013feb8a35f24f0a8bcbd2dae0e0ec3d50f6989025653463bc9&o=
15,Easyapartments Altstadt 1,https://www.booking.com/hotel/at/salzburg-altstadt-1.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=79369802_100571736_2_0_0&highlighted_blocks=79369802_100571736_2_0_0&matching_block_id=79369802_100571736_2_0_0&sr_pri_blocks=79369802_100571736_2_0_0__10900&from=searchresults#hotelTmpl,"Altstadt, Salzburg",US$120,8.5Very,good,https://cf.bstatic.com/xdata/images/hotel/square200/306634134.jpg?k=e1f43cd359d7c42d4f062a501099bd64892bc7de7e92fba5635ce79fc24e0f9c&o=
16,"Palais am Kai - Zentrale Lage, Kostenloser Parkplatz",https://www.booking.com/hotel/at/palais-am-kai-zentrale-lage-garagenparkplatz.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=1079734301_380566382_2_0_0&highlighted_blocks=1079734301_380566382_2_0_0&matching_block_id=1079734301_380566382_2_0_0&sr_pri_blocks=1079734301_380566382_2_0_0__22500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Altstadt, Salzburg",US$247,9.5Exceptional,26,https://cf.bstatic.com/xdata/images/hotel/square200/498376253.jpg?k=07ed8e13d8d7fc6cbc0a0389befabe9804609faa8bb77a50d8cecb9fb3263e9f&o=
17,HOMEBOUND APARTMENTS Salzburg City I - contactless check-in,https://www.booking.com/hotel/at/eb-garni.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=23802407_353577902_0_0_0&highlighted_blocks=23802407_353577902_0_0_0&matching_block_id=23802407_353577902_0_0_0&sr_pri_blocks=23802407_353577902_0_0_0__57750&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Salzburg,US$635,9.1Superb,511,https://cf.bstatic.com/xdata/images/hotel/square200/315346806.jpg?k=20878c7d22678f2135279adfe538d91b0a1a5134b4911e3d4d3937ce7903e993&o=
18,Easyapartments Riverside,https://www.booking.com/hotel/at/salzburg-riverside.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=79392202_100571977_2_0_0&highlighted_blocks=79392202_100571977_2_0_0&matching_block_id=79392202_100571977_2_0_0&sr_pri_blocks=79392202_100571977_2_0_0__16435&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Lehen, Salzburg",US$181,8.9Fabulous,213,https://cf.bstatic.com/xdata/images/hotel/square200/326055623.jpg?k=1eb342ce437e15c4125c6e3787cbe1ea9de7804fac90d752ed963092e55eb390&o=
19,Studio Nonntal,https://www.booking.com/hotel/at/studio-salzburg1.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=1070153901_379532927_2_0_0&highlighted_blocks=1070153901_379532927_2_0_0&matching_block_id=1070153901_379532927_2_0_0&sr_pri_blocks=1070153901_379532927_2_0_0__15900&from=searchresults#hotelTmpl,"Altstadt, Salzburg",US$175,4.0Review,score,https://cf.bstatic.com/xdata/images/hotel/square200/489174203.jpg?k=fe87cbe1f7b683e75f3717aa243576c91086ab5e274ca5bfd05f299732756510&o=
20,The City Appartment,https://www.booking.com/hotel/at/the-city-appartment.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=422227101_179427418_6_0_0&highlighted_blocks=422227101_179427418_6_0_0&matching_block_id=422227101_179427418_6_0_0&sr_pri_blocks=422227101_179427418_6_0_0__30000&from=searchresults#hotelTmpl,Salzburg,US$330,4.8Review,score,https://cf.bstatic.com/xdata/images/hotel/square200/503212018.jpg?k=eea86fa06d88857baef2b6f7db1fd3fbf24f780ad1929fffecbfdac6ecf8c3e8&o=
21,Bauernappartement mit Balkon,https://www.booking.com/hotel/at/bauernappartement-mit-balkon.en-gb.html?label=gen173nr-1FCAQoggJCC3JlZ2lvbl80MTI3SDFYBGgOiAEBmAExuAEZyAEM2AEB6AEB-AEDiAIBqAIDuAKd_fCrBsACAdICJDY1YjVjZDFiLWE0NjEtNDNkMi1hZjBmLTkyNDJjOTBlODg1ZNgCBeACAQ&aid=304142&ucfs=1&arphpl=1&checkin=2025-01-23&checkout=2025-01-24&dest_id=-1989985&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=483d5dd88fdf02b2&srepoch=1702646451&all_sr_blocks=1070317101_379546253_2_0_0&highlighted_blocks=1070317101_379546253_2_0_0&matching_block_id=1070317101_379546253_2_0_0&sr_pri_blocks=1070317101_379546253_2_0_0__17900&from=searchresults#hotelTmpl,"Altstadt, Salzburg",US$197,2.0Review,score,https://cf.bstatic.com/xdata/images/hotel/square200/489244787.jpg?k=4889e0d63df36393a072c44549a83c11843ca2f0511ab20a6c1f628fe341b971&o=
